Document Name,Document Type,Scan Date,Uploaded By,Document ID,Invoice Number,Invoice Date,Submitted Date,Supplier Name,Supplier No,Buyer Name,Exceptions,Reject Reason,Cost Center,Currency,Gross Amount,GST/ABN/ACRA,PO Number,Status,Sync Status,Remarks
IRN_number.pdf,Invoice,04/05/2022,,215940099,5220100037,07/04/2022,,New Aalim Mutton And Chicken Stall,VND000056,SODEXO INDIA SERVICES PRIVATE LIMITED,1. No PO number found in the Invoice and in Access HR data; 2. HSN code is missing in Invoice.; 3. GST number missing in the invoice.; 4. Buyer & Supplier GST number missing.; 5. Confirmed duplicate invoice found with the same invoice number 5220100037; Invoice date; Currency and Amount,,,INR,5230527.00,,,Exceptions Alert,,
J8411_101_136093_Invoice.pdf,Invoice,,,215287493,J8411-101,30/06/2020,,iPortalis Aggregation Limited,,SODEXO FOOD SOLUTION INDIA PVT LTD,,The invoice was rejected because the supplier was not approved by Pankaj.,,EUR,2205.58,305619220,SFS/IT/OPEX/19-20/,Rejected,,
9_2020_Sodexo_83_converted.pdf,Invoice,02/05/2022,,215260135,083/2019-20,01/09/2020,,JANHAVI SITARAM DESAI,VND010174,SODEXO FOOD SOLUTIONS INDIA PRIVATE LIMITED,,Incomplete invoice details,,INR,282315.00,27ADXPD4035A1ZS,,Rejected,,
9.pdf,Invoice,02/05/2022,,215260042,SES/330/21-22,07/12/2021,,SRINIVASA ENGINEERING SOLUTIONS,VND005857,Sodexo India Services Private Limited,,,,INR,52244.50,36ABPFS1302M1ZY,PO/SERV//022376,Exceptions Approved,Successfully Exported,
Pankaj2022664680.pdf,Invoice,05/05/2022,,214964753,I N3748/21-221,27/12/2021,,Mandeep Trading Co,VND000045,SODEXO INDIA SERVICE PRIVATE LIMITED.,1. Net total value in the invoice does not match the actual line total.; 2. No PO number found in the Invoice and in Access HR data; 3. Vendor name & Address mismatch with the supplier master data.; 4. Gross total mismatch; 5. Invalid characters present in the invoice number.; 6. Potential duplicate invoice found with the same Invoice date;Currency and Amount; 7. Buyer name is not matching with the Buyer Master.,,,INR,6762.00,27AMJPS6316E1ZW,,Exceptions Alert,,
Pankaj2022664680.pdf,Invoice,30/04/2022,,214833222,I N3748/21-22,,,Mandeep Trading Co,VND000045,SODEXO INDIA SERVICE PRIVATE LIMITED,,,,INR,6762.00,27AMJPS6316E1ZW,,Exceptions Approved,Not synced,
IRN_number.pdf,Invoice,,,214810049,5220100037,07/04/2022,,Sale Order No,,SODEXO INDIA SERVICES PRIVATE LIMITED,,The invoice was rejected because the supplier was not approved by Pankaj.,,INR,5230527.00,27AAACN1222E1Z3,,Rejected,,
No_Line_items_with_tax_rate.pdf,Invoice,,,214809609,111048,20/03/2022,,Arista Consulting LLC,,Not available,,,,USD,2280.00,,,Supplier Approval Pending,,
SoniaTESTFILE13Apr_6.pdf,Invoice,14/04/2022,sodexo.india@checkaninvoice.com,212564605,MAR013,16/03/2022,13/04/2022,RAMESH KIRANA STORE,VND017946,SODEXO INDIA SERVICES PVT. LTD.,,,,INR,1695.00,22ADQPJ1694Q1ZV,PO/SIS/per/30/2-D15098,Exceptions Approved,Synced,
SoniaTESTFILE13Apr_5.pdf,Invoice,20/04/2022,sodexo.india@checkaninvoice.com,212564397,1229T071905627,26/07/2019,13/04/2022,Metro Cash And Carry India Pvt Ltd East,VND001101,SODEXO INDIA SERVICES INDIA PVT. LTD.,,,,INR,14587.00,19AACCM4684P1ZO,PO/SIS/per/30/2-D15098,Exceptions Approved,Not synced, This is duplicate This is duplicate This is duplicate This is duplicate
SoniaTESTFILE13Apr_4.pdf,Invoice,13/04/2022,sodexo.india@checkaninvoice.com,212564395,MAR013,16/03/2022,13/04/2022,RAMESH KIRANA STORE,VND017946,Sodexo India Services Private Limited,,,,INR,4389.00,22ADQPJ1694Q1ZV,,Supplier Approval Pending,,
SoniaTESTFILE13Apr_3.pdf,Invoice,14/04/2022,sodexo.india@checkaninvoice.com,212564392,MAR013,16/03/2022,13/04/2022,RAMESH KIRANA STORE,VND017946,SODEXO INDIA SERVICES PVT. LTD.,,,,INR,595.00,22ADQPJ1694Q1ZV,PO/SIS/per/30/2-D15098,null,,
SoniaTESTFILE13Apr_2.pdf,Invoice,13/04/2022,sodexo.india@checkaninvoice.com,212564385,MAR013,16/03/2022,13/04/2022,RAMESH KIRANA STORE,VND017946,Sodexo India Services Private Limited,,,,INR,4389.00,22ADQPJ1694Q1ZV,,Supplier Approval Pending,,
SoniaTESTFILE13Apr_1.pdf,Invoice,13/04/2022,sodexo.india@checkaninvoice.com,212564378,MAR013,16/03/2022,13/04/2022,RAMESH KIRANA STORE,VND017946,Sodexo India Services Private Limited,,,,INR,4389.00,22ADQPJ1694Q1ZV,,Supplier Approval Pending,,
PO_Slash.pdf,Invoice,12/04/2022,,212391234,FEB-0092/21-22,02/02/2022,,Purohit Food Products Pvt.Ltd,VND001941,Sodexo India Services Private Limited,,,,INR,5800.26,27AAGCP5590F1Z6,PO/6743839393,Exceptions Approved,Synced,
2022224570_1.pdf,Invoice,12/04/2022,,212389730,FEB-0092/21-22,02/02/2022,,Purohit Food Products Pvt.Ltd,VND001941,Sodexo India Services Private Limited,,,,INR,14800.87,27AAGCP5590F1Z6,,Exceptions Approved,Synced,
SoniaTESTFILE12Apr_1.pdf,Invoice,12/04/2022,sodexo.india@checkaninvoice.com,212385624,MAR013,16/03/2022,12/04/2022,RAMESH KIRANA STORE,VND017946,Sodexo India Services Private Limited,,,,INR,4389.00,22ADQPJ1694Q1ZV,,Supplier Approval Pending,,
TESTFILE03March_1.pdf,Invoice,03/03/2022,sodexo.india@checkaninvoice.com,212384051,2021-22/38,30/11/2021,03/03/2022,THE MAHINDRA UNITED WORLD COLLEGE OF INDIA,,Sodexo India Services Private Limited,,,,INR,10620.00,27AAATT3393B1ZK,,Supplier Approval Pending,,
SoniaTESTFILE12Apr_1.pdf,Invoice,12/04/2022,sodexo.india@checkaninvoice.com,212382625,MAR013,16/03/2022,12/04/2022,RAMESH KIRANA STORE,VND017946,Sodexo India Services Private Limited,,,,INR,4389.00,22ADQPJ1694Q1ZV,,Supplier Approval Pending,,
No_Line_items_without_tax_rate.pdf,Invoice,12/04/2022,,212382109,1188670,30/03/2022,,Compact Hometel India Pvt Ltd,VND000013,Sodexo India Services Private Limited,,,,USD,1871.10,29AAECC1736G1ZR,PUR2606323,Exceptions Approved,Synced,
No_Line_items_with_tax_rate.pdf,Invoice,12/04/2022,,212382087,111048,20/03/2022,,Compact Hometel India Pvt Ltd,VND000013,Sodexo India Services Private Limited,,,,USD,2280.00,29AAECC1736G1ZR,PUR2606323,Exceptions Approved,Synced,
No_Line_items_without_tax_total.PDF,Invoice,12/04/2022,,212382080,1078065598,21/03/2022,,Compact Hometel India Pvt Ltd,VND000013,Sodexo India Services Private Limited,,,,INR,230.87,29AAECC1736G1ZR,PUR2606323,Exceptions Approved,Synced,
No_Line_items_with_tax_total.PDF,Invoice,12/04/2022,,212382077,1077939076,21/03/2022,,ALPHA METALLURGICAL & ANALYTICAL LABORATORY,VND007361,Sodexo India Services Private Limited,,,,USD,61.23,34AWEPV5271A1ZN,PUR2606323,Exceptions Approved,Synced,
No_Line_items.PDF,Invoice,12/04/2022,,212375646,107793904,21/03/2022,,Compact Hometel India Pvt Ltd,VND000013,Sodexo India Services Private Limited,,,,USD,61.23,29AAECC1736G1ZR,PUR2606323,null,,
03_07_2022_61.23.PDF,Invoice,12/04/2022,,212374652,10779390,21/03/2022,,Fresh And Honest Cafe Limited-VND000020,VND000020,STUART HOSE AND PIPE COMPANY,,Duplicate,,USD,61.23,06AAACF1516H1Z4,PUR2606323,Rejected,,
03_07_2022_230.87.PDF,Invoice,12/04/2022,,212374637,10780655,21/03/2022,,Compact Hometel India Pvt Ltd,VND000013,Sodexo India Services Private Limited,,,,USD,230.87,29AAECC1736G1ZR,4234242,Exceptions Approved,Synced,
iq251777990_Or1dFUUlHkiO.pdf,Invoice,11/04/2022,,212198237,FOOD22/KO/S00269,05/04/2022,,Empire Industries Ltd,VND017112,SODEXO INDIA SERVICES PRIVATE LIMITED,,,,INR,11500.00,19AAACE2757R1Z0,PUR2696707-1,Exceptions Approved,Synced,
RAM_Sodexo.pdf,Invoice,11/04/2022,,212198025,MAR013,16/03/2022,,RAMESH KIRANA STORE,VND017946,SODEXO INDIA SERVICES PVT. LTD.,,,,INR,4389.00,22ADQPJ1694Q1ZV,PO/SERV//022759,Exceptions Approved,Synced,
RAM_Sodexo.pdf,Invoice,13/04/2022,,212189831,MAR0132,16/03/2022,,RAMESH KIRAA STORES,,SODEXO INDIA SERVICES PVT. LTD,,,,INR,4389.00,22ADQPJ1694Q1ZV,PO/SERV//022759,null,,
TESTFILE03March_1.pdf,Invoice,30/04/2022,sodexo.india@checkaninvoice.com,211846886,2021-22/38,,03/03/2022,THE MAHINDRA UNITED WORLD COLLEGE OF INDIA,,Sodexo India Services Private Limited,,,41040601,INR,10620.00,27AAATT3393B1ZK,,Exceptions Approved,Not synced,
SoniaTESTFILE03March_1.pdf,Invoice,29/04/2022,sodexo.india@checkaninvoice.com,211836248,2021-22/38,30/11/2021,03/03/2022,THE MAHINDRA UNITED WORLD COLLEGE OF INDIA,,Sodexo India Services Private Limited,1. No PO number found in the Invoice and in Access HR data; 2. Vendor name & Address mismatch with the supplier master data.; 3. Confirmed duplicate invoice found with the same invoice number 2021-22/38; Invoice date; Currency and Amount; 4. This is a Capex invoice. Manual input required.,,41040601,INR,10620.00,27AAATT3393B1ZK,,Exceptions Alert,,
SoniaTESTFILE03March_1.pdf,Invoice,03/03/2022,sodexo.india@checkaninvoice.com,211836138,2021-22/38,30/11/2021,03/03/2022,THE MAHINDRA UNITED WORLD COLLEGE OF INDIA,,Sodexo India Services Private Limited,,The invoice was rejected because the supplier was not approved by Pankaj.,,INR,10620.00,,,Rejected,,
Pankaj_Testfile.pdf,Invoice,08/04/2022,,211749917,0000161965,,,Kromme Technologies P Ltd,VND000589,Not available,,,,INR,0.00,19AAFCK5723J1Z9,,Exceptions Approved,,
File_101.pdf,Invoice,,,211749795,PIT 03,19/02/2019,,J&J Company,,Michelin,,,,GBP,1395600.00,,,Supplier Approval Pending,,
Pankaj_Testfile.pdf,Invoice,,,211749654,0000161965,30/09/2019,,GovNet Communications,,Check An Invoice,,The invoice was rejected because the supplier was not approved by Pankaj.,,GBP,1500.00,,,Rejected,,
Pankaj_Testfile.pdf,Invoice,,,211746740,0000161965,30/09/2019,,GovNet Communications,,Check An Invoice,,The invoice was rejected because the supplier was not approved by Pankaj.,,GBP,1500.00,,,Rejected,,
Pankaj_Testfile.pdf,Invoice,,,211742053,0000161965,30/09/2019,,GovNet Communications,,Check An Invoice,,The invoice was rejected because the supplier was not approved by Pankaj.,,GBP,1500.00,,,Rejected,,
tuk_Tuk_mother_dairy.pdf,Invoice,23/04/2022,,210530240,1420,05/12/2020,,Tuk Tuk Sri Mother Dairy,VND002053,Sodexo India Services Private Limited,1. Net total value in the invoice does not match the actual line total.; 2. HSN code is missing in Invoice.; 3. Vendor name & Address mismatch with the supplier master data.; 4. invoice is older than 6 months.; 5. Buyer GST number missing.; 6. Uploaded invoice belongs to the previous financial year.,,,INR,10638.00,06ANAPR7303Q1ZM,PUR2311507,Exceptions Alert,,AMC charges
DGS_Enterprose.pdf,Invoice,23/03/2022,,209170169,3337,10/03/2022,,DGS ENTERPRISE,VND016685,SODEXO INDIA SERVICES PVT LTD,,,,INR,3440.00,27AVYPD1886A1ZD,,Exceptions Approved,Synced,
Sri_Balu_Onions_2.pdf,Invoice,23/04/2022,,209165279,P357,07/03/2022,,SRI BALU ONIONS,VND016195,Sodexo India Services Private Limited,1. Net total value in the invoice does not match the actual line total.; 2. Checks for Individual Tax ID could not be performed due to missing data in the invoice.; 3. HSN code is missing in Invoice.; 4. GST number missing in the invoice.; 5. Buyer & Supplier GST number missing.,,,INR,7985.00,,PUR2660261,Exceptions Alert,,AMC CHARGES
Sri_Balu_onions.pdf,Invoice,23/03/2022,,209164245,P358,10/03/2022,,SRI BALU ONIONS,VND016195,Sodexo India Services Private Limited,,Duplicate,,INR,8281.00,,PUR2660262,Rejected,,
Sri_Balu_onions.pdf,Invoice,23/03/2022,,209158276,P358,10/03/2022,,P. S. SAWANT and COMPANY,VND012255,Sodexo India services Pvt Ltd,,,,INR,244.00,27BCTPS9216G1ZX,PUR2660262,Exceptions Approved,Synced,
sodexofile.pdf,Invoice,22/03/2022,,208958850,S/21-22/10921,10/03/2022,,P. S. SAWANT and COMPANY,VND012255,Sodexo India Services Private Limited,,,,INR,14220.00,27BCTPS9216G1ZX,PUR2670826,Exceptions Approved,Synced,
132463_2022901930.pdf,Invoice,22/03/2022,,208955452,6645,02/03/2022,,P S SAWANT AND COMPANY,VND015522,Sodexo India Services Private Limited,,,,INR,498.00,27BCTPS9216G1ZX,,Exceptions Approved,Synced,
132463_2022901930.pdf,Invoice,21/03/2022,,208825070,6645,02/03/2022,,Mother Dairy Fruit And Vegitable,VND001899,Sodexo India Services Pvt. Limited,,,,INR,498.00,07AACCM3174A1ZX,,Exceptions Approved,Synced,
SoniaTESTFILE21Mar_1.pdf,Invoice,21/03/2022,sodexo.india@checkaninvoice.com,208794088,2021-22/38,30/11/2021,21/03/2022,THE MAHINDRA UNITED WORLD COLLEGE OF INDIA,,Sodexo India Services Private Limited,,Duplicate,,INR,10620.00,27AAATT3393B1ZK,PO/SIS/per/30/2-D15098,Rejected,,
SoniaTESTFILE17Mar_1.pdf,Invoice,21/03/2022,sodexo.india@checkaninvoice.com,208401463,2021-22/38,30/11/2021,17/03/2022,THE MAHINDRA UNITED WORLD COLLEGE OF INDIA,,Sodexo India Services Private Limited,,Duplicate,41040601,INR,10620.00,27AAATT3393B1ZK,2021-22/038,Rejected,,
gsoperating_prod_APINVEE_Services_52300_dlqadprod_67969.tif,Invoice,,,208398777,1277257,14/06/2021,,SOLUTION INDUSTRIES,,GEXPRO SERVICES,,The invoice was rejected because the supplier was not approved by Pankaj.,,USA,3433.36,,G1120209,Rejected,,
132832_sample_640_426.jpeg,Invoice,,,208054312,,,,,,Not available,,The document you uploaded doesn’t seem to be an invoice . Please review the document uploaded,,,,,,Rejected,,
SoniaTESTFILE14Mar_1.pdf,Invoice,14/03/2022,sodexo.india@checkaninvoice.com,207849979,2021-22/38,30/11/2021,14/03/2022,THE MAHINDRA UNITED WORLD COLLEGE OF INDIA,,M/s. Sodexo India Services Private Limited,1. Vendor name & Address mismatch with the supplier master data.; 2. Confirmed duplicate invoice found with the same invoice number 2021-22/38; Invoice date; Currency and Amount; 3. This is a Capex invoice. Manual input required.,,,INR,10620.00,27AAATT3393B1ZK,PO/SIS/per/30/2-D15098,Exceptions Alert,,
2021207220.pdf,Invoice,08/03/2022,,207215520,461 JUN20,26/06/2020,,Ramachandra,VND001305,Sodexo,1. No PO number found in the Invoice and in Access HR data; 2. GST number missing in the invoice.; 3. invoice is older than 6 months.; 4. Buyer & Supplier GST number missing.; 5. Invalid characters present in the invoice number.; 6. Uploaded invoice belongs to the previous financial year.; 7. Confirmed duplicate invoice found with the same invoice number 461 JUN20; Invoice date; Currency and Amount; 8. Buyer name is not matching with the Buyer Master.,,,INR,14587.00,,,Exceptions Alert,,
2021207220.pdf,Invoice,08/03/2022,,207213308,461 JUN20,26/06/2020,,Ramachandra,VND001305,SODEXO,1. No PO number found in the Invoice and in Access HR data; 2. GST number missing in the invoice.; 3. invoice is older than 6 months.; 4. Buyer & Supplier GST number missing.; 5. Invalid characters present in the invoice number.; 6. Uploaded invoice belongs to the previous financial year.; 7. Potential duplicate invoice found with the same invoice number 461 JUN20; Invoice date and Currency. Refer Voucher no IRKA207782; 8. Buyer name is not matching with the Buyer Master.,,,INR,14587.00,,,Exceptions Alert,,
2021164130.pdf,Invoice,08/03/2022,,207210434,474 JUL20,09/07/2020,,Ramachandra,VND001305,SODEXO,1. No PO number found in the Invoice and in Access HR data; 2. GST number missing in the invoice.; 3. invoice is older than 6 months.; 4. Buyer & Supplier GST number missing.; 5. Invalid characters present in the invoice number.; 6. Uploaded invoice belongs to the previous financial year.; 7. Confirmed duplicate invoice found with the same invoice number 474 JUL20; Invoice date; Currency and Amount. Refer Voucher no IRKA207777; 8. Buyer name is not matching with the Buyer Master.,,,INR,8128.00,,,Exceptions Alert,,
SoniaTESTFILE08Mar_1.pdf,Invoice,15/03/2022,sthakrey90@gmail.com,207202631,PPS2005066,11/05/2020,08/03/2022,Pestonics Pest Managament Pvt Ltd,VND009217,Sodexo India Services Private Limited,1. invoice is older than 6 months.; 2. IGST should be charged as the buyer and the seller state is different.; 3. Uploaded invoice belongs to the previous financial year.; 4. Potential duplicate invoice found with the same Invoice date;Currency and Amount; 5. This is a Capex invoice. Manual input required.,,,INR,17475.00,06AAICP1794K1ZZ,PO/SIS/per/30/2-D15098,Exceptions Alert,,
SoniaTESTFILE08Mar_1.pdf,Invoice,08/03/2022,sthakrey90@gmail.com,207200284,PPMS2005066,11/05/2020,08/03/2022,Pestonics Pest Managament Pvt Ltd,VND009217,m/s. SODEXO INDIA SERVICES Pvt LTD,1. invoice is older than 6 months.; 2. IGST should be charged as the buyer and the seller state is different.; 3. Uploaded invoice belongs to the previous financial year.; 4. Potential duplicate invoice found with the same Invoice date;Currency and Amount; 5. This is a Capex invoice. Manual input required.,,,INR,17475.00,06AAICP1794K1ZZ,PO/SIS/per/30/2-D15098-D15098-D15098,Exceptions Alert,,
2021864951.pdf,Invoice,08/03/2022,,207195775,1229T071905627,26/07/2019,,Compact Hometel India Pvt Ltd,VND000013,Sodexo India Services Pvt Ltd,1. No PO number found in the Invoice and in Access HR data; 2. Vendor name & Address mismatch with the supplier master data.; 3. invoice is older than 6 months.; 4. IGST should be charged as the buyer and the seller state is different.; 5. Uploaded invoice belongs to the previous financial year.; 6. Confirmed duplicate invoice found with the same invoice number 1229T071905627; Invoice date; Currency and Amount,,,INR,14587.00,29AAECC1736G1ZR,,Exceptions Alert,,
2021668090.pdf,Invoice,30/04/2022,,207195765,1229T071905627,31/10/2021,,metro cash and carry india pvt ltd-VND000051,VND000051,SODEXO INDIA SERVICES PRIVATE LIMITED,,,,INR,14587.00,36AACCM4684P1ZS,,Exceptions Approved,Not synced,
2021629788.pdf,Invoice,08/03/2022,,207195760,1229T081907230,27/08/2019,,metro cash and carry india pvt ltd-VND000051,VND000051,SODEXO INDIA,1. No PO number found in the Invoice and in Access HR data; 2. Vendor name & Address mismatch with the supplier master data.; 3. invoice is older than 6 months.; 4. Buyer GST number missing.; 5. Uploaded invoice belongs to the previous financial year.; 6. Buyer name is not matching with the Buyer Master.,,,INR,6319.00,36AACCM4684P1ZS,,Exceptions Alert,,
SoniaTESTFILE25feb_1.pdf,Invoice,03/03/2022,sthakrey90@gmail.com,206541563,2021-22/38,30/11/2021,25/02/2022,THE MAHINDRA UNITED WORLD COLLEGE OF INDIA,,Sodexo India Services Private Limited,1. No PO number found in the Invoice and in Access HR data; 2. Confirmed duplicate invoice found with the same invoice number 2021-22/38; Invoice date; Currency and Amount; 3. This is a Capex invoice. Manual input required.,,41040601,INR,10620.00,27AAATT3393B1ZK,,Exceptions Alert,,
2021955640.pdf,Invoice,23/04/2022,,205538866,BINA/21-22/016,30/11/2021,,SHREE LOGISTICS,VND015172,Sodexo India Services Private Limited,,,,INR,293624.12,23ALWPH2837F1Z0,PUR257019,Exceptions Approved,Successfully Exported,AMC CHARGES
2021989460.pdf,Invoice,25/02/2022,,205538708,TBPL/2021-22/167,03/12/2021,,Bisleri International Pvt. Ltd,VND000634,SODEXO INDIA SERVICES PVT LTD,1. No PO number found in the Invoice and in Access HR data; 2. Vendor name & Address mismatch with the supplier master data.; 3. CGST / SGST charged incorrectly as the buyer and the seller state is different.; 4. Confirmed duplicate invoice found with the same invoice number TBPL/2021-22/167; Invoice date; Currency and Amount,,,INR,8260.00,30AACCA4355K1ZY,STD/SD/004012,Exceptions Alert,,
2021551603.pdf,Invoice,25/02/2022,,205529195,2934800124,30/11/2021,,Bisleri International Pvt. Ltd,VND000634,Sodexo India Services Private Limited,1. PO number not as per format.; 2. Vendor name & Address mismatch with the supplier master data.; 3. CGST / SGST charged incorrectly as the buyer and the seller state is different.; 4. Confirmed duplicate invoice found with the same invoice number 2934800124; Invoice date; Currency and Amount,,,INR,131027.00,30AACCA4355K1ZY,PUR257019,Exceptions Alert,,
SoniaTESTFILE25feb_1.pdf,Invoice,25/02/2022,sthakrey90@gmail.com,205528033,2021-22/38,30/11/2021,25/02/2022,COFFEE DAY GLOBAL LIMITED-VND000126,VND000126,SODEXO INDIA SERVICES Pvt LTD,1. No PO number found in the Invoice and in Access HR data; 2. Vendor name & Address mismatch with the supplier master data.; 3. Gross total mismatch; 4. CGST / SGST charged incorrectly as the buyer and the seller state is different.; 5. Confirmed duplicate invoice found with the same invoice number 2021-22/38; Invoice date; Currency and Amount; 6. This is a Capex invoice. Manual input required.,,41040601,inr,10620.00,06AABCA5291P1ZB,2021-22/038,Exceptions Alert,,
SoniaTESTFILE25feb_2.pdf,Invoice,25/02/2022,sthakrey90@gmail.com,205527076,2021-22/38,30/11/2021,25/02/2022,COFFEE DAY GLOBAL LIMITED-VND000125,VND000125,SODEXO INDIA SERVICES Pvt LTD,1. No PO number found in the Invoice and in Access HR data; 2. Vendor name & Address mismatch with the supplier master data.; 3. Gross total mismatch; 4. CGST / SGST charged incorrectly as the buyer and the seller state is different.; 5. Confirmed duplicate invoice found with the same invoice number 2021-22/38; Invoice date; Currency and Amount; 6. This is a Capex invoice. Manual input required.,,41040601,INR,10620.00,09AABCA5291P1Z5,2021-22/038,Exceptions Alert,,
SoniaTESTFILE24_feb.pdf,Invoice,24/02/2022,sthakrey90@gmail.com,205379691,022/21,19/10/2021,24/02/2022,OINESH N RAIKUNOLIA,VNd006962,SODEXO INDIA SERVICES PVT LTD.(GOA),,The invoice was rejected because the supplier was not approved by Pankaj.,,INR,6000.00,,,Rejected,,
SoniaTESTFILE22_feb.pdf,Invoice,19/04/2022,sthakrey90@gmail.com,205032602,CRRD001,16/12/2019,22/02/2022,metro cash and carry india pvt ltd-VND000051,VND000051,Sodexo India Services Private Limited,,,,INR,-377.00,36AACCM4684P1ZS,PO/0274106-Veg & N Veg Trans. O,Exceptions Approved,Not synced,100.00 100.00 100.00 100.00 100.00 100.00 100.00 100.00 100.00 100.00 100.00 100.00  100.00 100.00 100.00 100.00  100.00 100.00 100.00 100.00  100.00 
SoniaTESTFILE22_feb.pdf,Invoice,22/02/2022,sthakrey90@gmail.com,205013954,022/21,19/10/2021,22/02/2022,DINESH N RAIKUNDLIA,VND006962,Sodexo India Services Private Limited,,The invoice was rejected because the supplier was not approved by Pankaj.,,INR,6000.00,,,Rejected,,
SoniaTESTFILE21_feb.pdf,Invoice,21/02/2022,sthakrey90@gmail.com,204867966,022/21,19/10/2021,21/02/2022,DINESH N RAIKUNDLIA,VND006962VMD108988,Sodexo India Services Pvt. Ltd.,,The invoice was rejected because the supplier was not approved by Pankaj.,,INR,6000.00,,,Rejected,,
2022336650.pdf,Invoice,01/03/2022,Jharna,204687073,0000161965,30/09/2019,17/02/2022,Shree Ganesh Bakery & Food Suppliers,VND000418,Check An Invoice pvt,1. No PO number found in the Invoice and in Access HR data; 2. HSN code is missing in Invoice.; 3. GST number missing in the invoice.; 4. invoice is older than 6 months.; 5. Buyer & Supplier GST number missing.; 6. Uploaded invoice belongs to the previous financial year.; 7. Potential duplicate invoice found with the same invoice number 0000161965; Invoice date and Currency; 8. Buyer name is not matching with the Buyer Master.,,41000211,INR,1500.00,,,Exceptions Alert,,
SoniaTESTFILE02.pdf,Invoice,28/01/2022,sthakrey90@gmail.com,204363390,022/21,19/10/2021,28/01/2022,DINESH N RAIKUNDLIA,VMD108988,Sodexo India Services Pvt. Ltd.,,The invoice was rejected because the supplier was not approved by Pankaj.,,INR,6000.00,,,Rejected,,
SoniaTESTFILE8feb_2.pdf,Invoice,23/03/2022,sthakrey90@gmail.com,203798987,2021-22/38,30/11/2021,11/02/2022,P. S. SAWANT and COMPANY,VND012255,M/s. Sodexo India Services Private. Limited,,,41040601,INR,9000.00,,,Exceptions Approved,Synced,
SoniaTESTFILE8feb_2.pdf,Invoice,21/02/2022,sodexo.india@checkaninvoice.com,203798880,2021-22/38,30/11/2021,11/02/2022,UWC MAHINDRA COLLEGE,VND009748,M/s. Sodexo India Services Private. Limited.,,,41040601,INR,10620.00,27AAATT3393B1ZK,,Exceptions Approved,Synced,
SoniaTESTFILE8feb_2.pdf,Invoice,08/02/2022,sodexo.india@checkaninvoice.com,203359987,2021-22/38,30/11/2021,08/02/2022,CHUBB ABLA CONTROL SYSTEMS LTD - AP,VND006993,SODEXO INDIA SERVICES P LTD,,,41040601,inr,10620.00,29AAACA0031C1ZJ,,Exceptions Approved,Not synced,
